PUBCHEM_SID,SMILES,Mtb Activity,IC90 Modifier,IC90,Vero Activity,IC50 Modifier,IC50
852976,CCN1C(=O)C2=CC=CC=C2N=C1SCC(=O)OC3CCCCC3,Active,,55.1,Inactive,,
852977,COC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)OC3CCCCC3)OC,Active,>,100,Inactive,,
852985,COC(=O)C1=NOC(=C1)/C=C/C2=CC=CC=C2,Active,>,100,Inactive,,
853011,CC(=O)C1C(C(=C(CC1(C)O)NC2=CC=C(C=C2)OC)C(=O)C)C3=CC4=C(C=C3)OCO4,Inactive,,,Inactive,,
853078,CCOC1=CC=C(C=C1)C(=O)CCN2CCCCCC2.Cl,Active,,26.19,Active,>,40
853202,C1CN(CC2=CC=CC=C21)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,Inactive,,,Inactive,,
853541,CC1=NC(=NC=C1)N2CCC(CC2)C(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,>,50,Inactive,,
855571,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,Active,,51.2,Inactive,,
855577,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Inactive,,,Inactive,,
855892,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,Active,,14.63,Active,,12.16
856019,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,,26.15,Inactive,,
856089,CC1=CC2=C(C=CC3=[N+](ON=C32)[O-])N=N1,Active,,22.8,Inactive,,
856331,C1CCC23C(C1)CC4=C(N2C5=CC(=C(C#N)C#N)C=CC5=N3)CCCC4,Active,,13.47,Active,,29.537
856354,CC1=CC2=C(N1)C=CC(=C2N=O)NO,Active,,18.23,Active,,5.534
856460,C1=CC=C(C=C1)CCNC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4,Inactive,,,Inactive,,
856630,CCOC(=O)C(C)SC1=C(C=CC(=N1)C2=CC=CS2)C#N,Active,,50.33,Active,,38.873
856711,C1CCC(CC1)N2C(=C(C(=O)N(C2=O)C3CCCCC3)C=NCCN4CCNCC4)O,Active,,32.45,Active,,33.506
856765,CCCCCNC1=C(C2=C(CN(CC2)C)C(=N1)N3CCCC3)C#N,Active,>,100,Active,>,40
856768,CCOC(=O)C1=C(NC(=C(C1C2=CC=CS2)C#N)SCC(=O)NC3=NC(=CS3)C)C,Active,,49.75,Active,>,40
856833,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=CC=N3,Active,,6.86,Active,,34.157
856947,CCOC1=CC=C(C=C1)NC2=NC(=NC(=C2)C)N3C(=CC(=N3)C)C,Active,,4.89,Active,,6.256
856955,C1=CC=C(C(=C1)N=CC2=CC=CN2)O,Active,,6.04,Active,>,40
856990,CCOC(=O)CON1C2=C(CCCC2)C3=C1C=CC4=[N+](ON=C43)[O-],Active,,6.48,Inactive,,
857184,COC1=CC=C(C=C1)C2=CC(=NN2)C3=CC=C(C=C3)OC,Active,>,50,Inactive,,
857211,C1=CC=C(C=C1)C2=NC3=NON=C3N=C2C4=CC=CC=C4,Active,,39.41,Active,,17.759
857655,CC1=CC2=C(C=C1)NC3=C2N=CN=C3N4CCN(CC4)CC5=CC=CC=C5,Active,,45.99,Active,,35.25
857718,COC1=CC=CC=C1C(=O)NC(=NC2=NC3=CC=CC=C3O2)NC(=O)C4=CC=CC=C4OC,Inactive,,,Active,,14.011
857802,COCC1=CC(=O)NC(=N1)NC2=NC3=CC=CC=C3O2,Active,,47.97,Active,,16.004
858051,CCCC1=CC(=C(C=C1OC)O)C2=NC(=NC=C2C3=CC4=C(C=C3)OCCCO4)N,Active,,80.99,Active,>,40
858063,CC1=CC(=NC(=N1)N2C3=C(CC(C3)C(=C)C)C(=N2)C)C,Active,,22.12,Inactive,,
858118,CC/C(=C\C(=O)C1=CN=CC=C1)/NC2=CC(=C(C=C2)C)C,Inactive,,,Active,>,40
858274,CCOC(=O)CSC1=NC(=C(S1)C(=O)NC2=CC=C(C=C2)N(C)C)N,Active,,9.77,Inactive,,
858409,CC1CN(CCN1C2=CC(=CC=C2)OC)C3=NC=NC4=C3NC5=CC=CC=C54,Active,,42.52,Active,,7.278
858412,CC1=C(C=C(C=C1)C2=CC=C(O2)/C=N/C3=NC=NN3)Cl,Inactive,,,Inactive,,
858735,CCOC(=O)C1=CC=C(C=C1)N2CC(=C(C2=N)C3=NC4=CC=CC=C4C(=O)N3)O,Inactive,,,Inactive,,
858736,C1COCCN1C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)NCC4=CC=CO4,Active,,47.16,Inactive,,
858767,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)F)NC(=O)CN3CCN(CC3)C/C=C/C4=CC=CC=C4,Active,,42.79,Active,,22.388
859551,CCOC1=CC=C(C=C1)N=C(NC#N)SCC(=O)NC2CC2,Inactive,,,Inactive,,
859637,CC1=CC2=C(C(=O)O1)S/C(=C(\C(=O)OC)/C(F)(F)F)/O2,Active,>,100,Active,,9.912
859774,CC1=C(C(=CC=C1)C)OCC(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CC=C4,Inactive,,,Active,,34.92
860182,CN(C)CCOC1=NC(=NC2=C1OC3=CC=CC=C32)C4=CC=CC=C4,Active,,25.56,Active,,12.485
860244,CCOC(=O)CN1C(=C(C(=O)C2=CC=CC(=C21)C)Br)C,Active,,26.55,Inactive,,
860819,COC1=CC=CC=C1N(C2CC(=O)N(C2=O)C3=CC=C(C=C3)Br)O,Active,,25.86,Inactive,,
860951,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C(=O)CN4CCN(CC4)C5=CC=CC=N5,Inactive,,,Inactive,,
860986,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,Active,,32.31,Active,,19.659
861166,CC1CN(CCN1C2=CC=CC(=C2)C)CC(=O)NC3=C(NC4=C3C=CC(=C4)OC)C(=O)OC,Active,,50.89,Active,,30.604
861868,CCC(C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)/N=C/C4=CC=CC=N4)N,Active,,22.35,Active,>,40
861950,COC1=C(C=C(C=C1)C2=NN=C3N2N=C(S3)C4CCCCC4)OC,Active,,51.55,Active,>,40
861996,COC1=C(C=C(C=C1)NC(=O)CSC2=NN=C(N2N)C3=CC=CC=N3)Cl,Active,>,100,Inactive,,
862018,CCOC(=O)OC1=CC2=C(C=C1)OC(=C2C(=O)OCCOC)C,Inactive,,,Inactive,,
862067,CC(C)(C)N1C(=C(C(=O)NC1=O)C=NC2=CC3=C(CCC3)C=C2)O,Inactive,,,Active,>,40
862140,C1CN2CCC1C(C2)OC(=O)C3C4=CC=CC=C4OC5=CC=CC=C35.Cl,Active,,28.32,Active,>,40
862270,CCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,Active,,29.12,Active,,33.93
862462,C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)SCC#CCOC(=O)C4=CC=CS4,Active,>,100,Inactive,,
862549,C1CCC(C1)N2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)OCC5CCCO5)N,Active,,86.77,Active,,38.262
862552,COC(=O)[C@H](CCSC)NC(=O)N1CCN(CC1)C2=CC=CC(=C2)C(F)(F)F,Active,,58.81,Inactive,,
862693,CCN(CC)C(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=C(C=C3)OC,Active,>,100,Inactive,,
862910,COC1=C(C=C2C(=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)C5=CC=CC=N5)OC,Inactive,,,Active,,11.122
863017,CCCCOCCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CO4,Active,>,100,Active,>,40
863040,C1NC(=NCN1CCC2=CC=CC=C2)NC3=NC4=CC=CC=C4O3,Inactive,,,Inactive,,
863132,CC(C)C1=NC(=NO1)C2=C(N=C(C=C2)C3=CC=C(C=C3)OC)OC,Active,,54.65,Inactive,,
863192,CCN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N,Active,,47.61,Inactive,,
863353,CC(C)(C)C1CCC2=C(C1)SC3=C2C(=O)N(C4=NN=C(N34)SCC(=O)N)C,Active,,41.66,Active,>,40
863475,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NC(=C(O3)NCCCN4C=CN=C4)C#N,Active,,42.98,Active,>,40
863592,C1CC2=C(C3=C(C=CN(C3=O)CC4=CC=CC=C4)N=C2C1)N,Active,,15.91,Active,>,40
863607,CC1CCN(CC1)C2=NC(=NC3=C2OC4=CC=CC=C43)C,Active,,30.26,Active,>,40
863906,C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NC4=C(N3)C=C(C=N4)Br,Active,>,100,Active,>,40
863998,CN1C=C(C=C1C2=NC3=CC=CC=C3N2C)C(=O)C4=CC=C(C=C4)Cl,Active,,49.48,Active,>,40
864029,CCN1C2=C(C=C3C=C(C=CC3=N2)C)C(=N1)NC(=O)C4=CC=NC=C4,Active,>,100,Active,>,40
