PUBCHEM_SID,SMILES,Mtb Activity,IC90 Modifier,IC90,Vero Activity,IC50 Modifier,IC50
14747091,CC(C)CN1C2=C(C(=O)NC1=O)N(C(=N2)C3=CC=C(C=C3)OC(C(C(F)(F)F)F)(F)F)CCOC,Inactive,,,Active,>,40
14747092,CC1=C(N=C(S1)NC(=O)CN2C=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)OC,Active,,50.44,Active,>,40
14747160,CC1=CC(=C(N1CC(F)(F)F)C)C(=O)COC(=O)C2=C(N(N=C2C)CC3=CC=CC=C3)C,Inactive,,,Active,>,40
16952436,C1=CC=C2C(=C1)NC(=N2)/C(=C\C3=CC=C(C=C3)Cl)/C(=O)C4=CC=CS4,Active,,96.81,Active,,2.903
16952588,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)CC3=NC4=C(C(=O)N3)SC=C4,Inactive,,,Active,>,40
16952598,COC1=CC(=C(C=C1)C(C[N+](=O)[O-])C2=C(C=C3N2C=CC=C3)C4=CC=CC=C4)OC,Active,,51.84,Active,,20.256
16952601,CCNC1=NC(=NC(=N1)N/N=C/C2=CC=C(O2)[N+](=O)[O-])NCC,Active,,1.7,Active,,38.981
16952667,C1=CC(=CC=C1C2=CSC(=N2)/N=C/N(CCO)CCO)Br,Inactive,,,Inactive,,
16952731,CCCCN1C2=CC=CC=C2C3(C1=O)NNC4=CC=CC=C4O3,Active,>,100,Active,>,40
16952767,CC1=CC=C(O1)/C=N/NC(=S)NC(C)C,Active,,46.74,Inactive,,
16952845,C1CN(CCN1CC2=CC=CC=C2)C3=NC4=CC=CC=C4C(=N3)NCC5=CC=CO5.Cl,Active,,22.56,Active,,24.378
16952853,CCOC(=O)C1=NN(C=C1O)C2=CC(=C(C=C2)C)C,Active,>,100,Inactive,,
16952893,CC(C1=CC(=C(C=C1)Cl)Cl)NC(=O)CCl,Active,,7.74,Active,,8.914
16952915,C\1CC(=C(/C1=C\C2=CC=CC=C2)N3CCOCC3)/C=N/N=C/4\C5=CC=CC=C5NC4=O,Active,>,100,Active,,28.217
16952934,CC1=CC2=CC3=C(N=C2C=C1)SC(=NCCOC)N(C3)CC4=CC=CO4,Inactive,,,Active,>,40
16952946,COC(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)O,Active,,89.35,Active,,24.175
16952948,C1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C3=CC=C(O3)C4=CC=C(C=C4)Br,Inactive,,,Active,,20.669
16952970,CCCNC(=O)NC(=O)COC1=CC2=C(C=C1)OC3=CC=CC=C32,Inactive,,,Inactive,,
16953091,COC1=CC=C(C=C1)/C(=C/SC2=NN=C(O2)CC3=CC=CC=C3)/O.Br,Inactive,,,Inactive,,
16953183,CN1CCN(CC1)C2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,Active,,42.19,Active,,11.661
16953221,CC1(OC(=O)C(=NNC2=CC=C(C=C2)Cl)C(=O)O1)C,Inactive,,,Inactive,,
16953260,C1COC(=CO1)C(=O)OCC(=O)NC2=CC(=CC=C2)OC3=CC=CC=C3,Active,,37.16,Inactive,,
16953325,CCOC(=O)C1=C(SC=C1CC(C)C)NC(=O)CCl,Active,,11.15,Active,>,40
16953369,CC(C(=O)NC1=CC=C(C=C1)C(C)(C)C)NC2=CC(=C(C=C2)OC)Cl,Active,>,100,Active,>,40
16953552,CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active,,12.29,Active,,3.132
16953603,CC1=CC=C(O1)C2=CC(=CC=C2)NC(=O)C3C4CC(C3C(=O)O)C=C4,Inactive,,,Inactive,,
16953644,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=NCCS2,Active,,48.92,Inactive,,
16953774,CC(C)(C)C1=CC=C(C=C1)C(=O)CSC2=NNC(=O)NC2=O,Active,,28.62,Inactive,,
16953799,COC1=CC=C(C=C1)N2CCN(CC2)CC3=C(C=C4CCCC4=C3)O,Inactive,,,Active,>,40
16953865,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,Inactive,,,Active,,13.79
17385656,CNC(=O)COC(=O)C1=CC=C(S1)C2=NC3=CC=CC=C3S2,Active,,16.29,Inactive,,
17385788,CC1=CC(=C(N1C2=CC=C(C=C2)S(=O)(=O)N)C)/C=C\3/C(=O)NC(=NC4=CC=C(C=C4)F)S3,Active,,26.18,Active,,11.958
17385790,CC1=NC(=NC=C1)SC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,,29.7,Active,,7.247
17385828,C1=CC=C(C=C1)C2=NN3C(=CC2=O)NC4=CC=CC=C4C3=O,Active,,14.99,Inactive,,
17385866,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)OC2=CC=CC(=C2)C3=NC4=CC=CC=C4N=C3)Br,Inactive,,,Inactive,,
17385872,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC=CC=C3Cl,Active,,27.08,Active,>,40
17385916,CC1=NC(=NN1)S/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)Cl)/C(=O)O,Inactive,,,Inactive,,
17386044,C1=CC=C(C=C1)C(=O)C2=NN(C=C2C(=O)C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)Cl,Inactive,,,Inactive,,
17386124,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(C4=C(CCC4)N=C3S2)C(F)(F)F)N,Active,,50.88,Inactive,,
17386215,CC1=CC(=NN1C2=NC(=NC(=N2)N/N=C/C3=C(C(=CC=C3)OC)O)NC4=CC=CC=C4)C,Active,,0.25,Active,,8.564
17386276,C1CC2=C(C1)C(=NC3=C2C4=CC=CC=C4C=C3)C5=CC(=CC=C5)O,Active,,54.29,Active,>,40
17386298,CC1=CC(=CC=C1)OCC(=O)NNC(=O)C2=CC3=CC=CC=C3OC2=O,Active,>,100,Inactive,,
17386317,CCN1N=CC(=C1C)/C=C\2/C(=O)/C(=C/C3=C(N(N=C3)CC)C)/CCC2,Inactive,,,Inactive,,
17386330,C1=CC=C2C(=C1)C3=CC=CC=C3N2/N=C/C4=CC=C(C=C4)O,Inactive,,,Inactive,,
17386361,CC1=C(C=NN1C2=CC=CC=C2)C(=O)OC3=CC=CC4=CC=CC=C43,Active,,26.13,Inactive,,
17386454,CCN1C(=C(C(=N1)C)C(=O)NC2=CC(=CC(=C2)OC3=CC(=CC(=C3)C)C)[N+](=O)[O-])C,Inactive,,,Active,,22.657
17386486,CCOC(=O)C1=NN(C2=NC(=CC(=O)N12)NC3=CC=CC=C3)C4=CC=C(C=C4)C,Active,,13.61,Inactive,,
17386508,CC(C)NC1=NC(=NC(=N1)N(C)N)NC(C)C,Active,,47.94,Inactive,,
17386587,COC1=CC=C(C=C1)C(=O)NC(C(=O)OC)(C(F)(F)F)NC2=NC=C(S2)S(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,,,Active,>,40
17386676,CC1=C(C=C(C=C1)C(=O)COC(=O)C2CC(=O)N(C2)C3=NC(=CS3)C4=CC=CC=C4)C,Inactive,,,Inactive,,
17386677,C=CCN(CC=C)C(=S)NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,Active,,22.41,Active,>,40
17386723,CCCSC1=NN2C(=O)C3=CC=CC=C3N=C2S1,Active,,28.05,Active,>,40
17386753,CC1=C(C(=CC=C1)C)OCC(CN2CCC(CC2)CN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O.Cl,Inactive,,,Active,,23.414
17386889,CC1=CC=C(C=C1)S(=O)(=O)CNC(=S)C2=CC3=CC=CC=C3C=C2,Inactive,,,Inactive,,
17386898,C1CN(CCN1CCCCN2C(=O)CC(=C(C3=CC=CC=C3)C4=CC=CC=C4)C2=O)C5=CC=CC=C5,Active,,28.8,Active,>,40
17386941,CC1=NN(C(=C1/C=C/C(=O)C2=CC=CC=C2)Cl)C3=CC=CC=C3,Active,,97.24,Inactive,,
17386998,CCC1=CC=C(C=C1)/C=C/C(=O)C2=C(C(=O)C=CC(=C2)Br)O,Inactive,,,Active,,11.475
17387040,C/C(=N\NC1=NC2=C(S1)CCCC2)/C3=CC=CC=C3.Cl,Active,,47.17,Inactive,,
17387078,CC1=CC2=C(C=C1)N=C3N2C=C(C=C3)[N+](=O)[O-],Active,>,100,Active,>,40
17387164,CC(C(=O)NNC(=S)NC(=O)C1=CC=CO1)OC2=CC3=CC=CC=C3C=C2,Active,,31.86,Active,,39.506
17387225,C1C2CC3CC1CC(C2)(C3)NC(=O)CCSC4=CC=C(C=C4)Cl,Inactive,,,Inactive,,
17387228,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OS(=O)(=O)C3=CC=CC=C3,Active,,14.09,Inactive,,
17387294,C1=CC=C(C=C1)C2=C(C(=O)N(N=C2C3=CC=CC=C3)CC(=O)NNC(=O)NC4=CC(=C(C=C4)Cl)Cl)C#N,Active,,54.69,Active,,32.948
17387350,CCOC1=CC=C(C=C1)NCC(=O)N/N=C/2\CC(CC=C2C)C(=C)C,Inactive,,,Inactive,,
17387361,COC1=CC2=CC=CC=C2C=C1C(=O)NC3=CC=C(C=C3)CC4=CC=NC=C4,Active,,27.29,Active,,22.031
17387412,CCC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C3N(C(=O)CS3)CCC4=CC=CC=C4,Inactive,,,Inactive,,
17387426,C1=CC=C(C(=C1)CN2C=CC(=N2)NC(=O)C3=CC=C(C=C3)COC4=CC=CC=C4Cl)F,Active,,16.11,Active,>,40
17387442,CC1=CC(=CC=C1)COC2=CC=CC=C2/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,,,Active,>,40
17387509,CC1=NN=C(C(=O)N1/N=C/C2=C(C=CC3=CC=CC=C32)O)C4=CC=CC=C4,Active,,24.73,Active,,18.85
17387574,CC1=CC=C(C=C1)C2=NOC(=N2)C3=CC4=CC=CC=C4OC3=O,Active,>,100,Inactive,,
17387587,CC1=CC(=C(N1C2=CC3=C(C=C2)N=CC=C3)C)/C=N\NC(=O)C4=CC=CS4,Active,,60.22,Active,>,40
17387650,CC1=CC(=CC=C1)/C=C/2\C(=O)N/C(=N\N=C\3/CC4CCC3(C4(C)C)C)/S2,Active,>,100,Active,>,40
17387679,COC1=CC(=NC(=N1)OC2=CC=CC=C2C(=O)OC3=CC=C(C=C3)Cl)OC,Inactive,,,Active,>,40
17387987,CCCN1C(=NC(=C1S(=O)(=O)C2=CC=CC=C2)[N+](=O)[O-])CC,Active,,23.56,Active,,13.133
17387996,CC1CC(CN(C1)C(=O)/C=C/C2=CC=C(O2)C)C,Active,,49.35,Active,>,40
17388004,CCCCCCCC(=O)N/N=C(/C)\C1=C(C=C(OC1=O)C)O,Inactive,,,Active,>,40
17388020,CCCCC#C/C=C\1/CN2C3=CC=CC=C3N=C2S1,Inactive,,,Inactive,,
17388021,CC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(S3)C)C,Inactive,,,Inactive,,
17388046,CC1=C(C(=CC=C1)N2CCN(CC2)CC(=O)NC3=NC=CS3)C,Active,,69.21,Inactive,,
17388089,CC1CCC2=C(C1)SC3=NC=NC(=C23)NCCCOC(C)C.Cl,Active,,74.24,Active,>,40
17388227,C1CCC(CC1)NC(=O)NC2=CC3=NSN=C3C=C2,Active,>,100,Inactive,,
17388346,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)/C(=C/C3=C(N(C(=C3)C)C4=CN=CC=C4)C)/S2)C,Inactive,,,Active,>,40
17388567,CC1=CC(=NC2=C(C(=O)NN12)N=NC3=CC=CC(=C3)C(F)(F)F)C,Inactive,,,Active,,26.168
17401118,CCCC(=O)NC1=CC=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)SC,Active,,85.36,Active,>,40
17401144,CC1=C(C2=CC=CC=C2N1)/C=N/NC3=NC(=NC(=N3)NC4=CC=CC=C4)N5CCOCC5,Active,,13.59,Active,,24.128
17401154,C1=CC(=C(C=C1NC2=NN=C(C=C2)N3C=CN=C3)Cl)Cl,Active,,24.81,Active,>,40
17401177,CC1(CC2=C(C(C(=C(N2NC3=CC=CC=C3)N)C#N)C4=CC(=C(C=C4)OCC=C)OC)C(=O)C1)C,Active,>,100,Active,,35.849
17401350,C1=CC=C(C=C1)NN2C(=O)C3=CC=CC=C3C2=O,Inactive,,,Inactive,,
17401397,CCC1=CC=C(C=C1)N=CC23C4C(C(C5=CC=CC=C52)C6=CC=CC=C36)C(=O)N(C4=O)C7=CC=C(C=C7)OC,Inactive,,,Active,>,40
17401542,C1=CC=NC(=C1)/C=N/N=C/2\NC(=O)C(S2)CC3=CC(=CC=C3)SC(F)F,Inactive,,,Active,,14.671
17401721,C1=COC(=C1)C2=NC3=C(C=C2)C(=C(S3)C(=O)NC4=CC=C(C=C4)Br)N,Inactive,,,Inactive,,
17402121,CCOC(=O)CSC1=NC=C(C(=N1)SC2=CC=C(C=C2)OC)OC,Active,,54.33,Inactive,,
17402136,CC1=CC=CC=C1N2CCN(CC2)C(=O)C3=CC=C(C=C3)OC4=NC=C(C=C4)C(F)(F)F,Active,,54.61,Active,>,40
17402203,C1=CC(=C(C(=C1)Cl)/C=C/C(=O)C2=CC=C(C=C2)F)F,Active,,73.03,Active,>,40
17402227,COC1=CN=C(N=C1OC2=CC=C(C3=CC=CC=C32)Cl)C4=CC=CC=N4,Active,,1.38,Active,,16.868
17402256,CC1(CN(N(C1=O)C(=O)C2=CC=C(C=C2)C#N)C3=CC=CC=C3)C,Inactive,,,Inactive,,
17402401,CC1=CC=C(C=C1)C(=O)O/N=C\C2=CC(=C(C=C2)N3CCCCC3)[N+](=O)[O-],Active,>,100,Active,>,40
17402431,C1=CC2=C(C=C1Cl)N=C(C(=O)N2CCNC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl,Active,,3.37,Active,,11.533
17402448,C1CN(CCC1C2=NC3=CC=CC=C3S2)C(=O)CSC4=CC=C(C=C4)Cl,Active,,68.28,Active,,34.734
17402488,CC(=O)C1=CC(=C(C=C1)N2CCC(CC2)C3=CC(=NN3)C4=C(C=C(C=C4)Cl)Cl)[N+](=O)[O-],Active,>,100,Active,,29.205
17402496,COCCCN1C(=N)C2=CC(=C(C=C2N=C1SCC3=CC(=CC=C3)OC)OC)OC,Active,,44.56,Active,>,40
17402536,C1CN(CCC1C2=CC(=NN2)C3=C(C=C(C=C3)Cl)Cl)C4=CC(=NC(=N4)N)Cl,Active,,30.07,Active,>,40
17402582,CC(=O)/C(=C\NC1=CC=C(C=C1)OCC2=CC=CC=C2)/C3=CC=CC=C3,Inactive,,,Inactive,,
17402608,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)/C=C/NC3=CC=C(C=C3)OC,Active,>,100,Active,>,40
17402757,C1=CC=C(C=C1)C(=O)C2=NN(C(=O)C=C2C(F)(F)F)C3=CC=C(C=C3)Cl,Active,,31.06,Active,,15.674
17402897,CN1C(CC(O1)COC(=O)C2=C(C=C(C=C2)Cl)Cl)C3=CC=CC=C3,Active,,22.31,Inactive,,
17403126,CC1=CC=C(C=C1)S(=O)(=O)C(CC(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC,Active,,92.18,Active,>,40
17403161,CC(=O)N1C(CCN1C2=CC=CC=C2)NC3=CC=C(C=C3)Cl,Inactive,,,Inactive,,
17403237,CC1(CC(C2=CC=CC=C2N1C(=O)C3=CC=CC=C3)(C)C4=CC(=CC(=C4)[N+](=O)[O-])[N+](=O)[O-])C,Active,,28.87,Active,>,40
17403258,COC1=CC=C(C=C1)NCC2=NC3=CC=CC=C3N2CCOC4=CC=CC=C4,Active,,88.58,Active,>,40
17403492,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=C/[N+](=O)[O-],Inactive,,,Active,>,40
17403551,C/C(=N\NC1=CC=C(C=C1)[N+](=O)[O-])/C2=CC(=CC=C2)N,Active,,88.88,Inactive,,
17406683,CC(C(=O)NC1=C(C2=C(S1)CCCC2)C(=O)NCC3=CN=CC=C3)OC4=CC=C(C=C4)F,Active,,85.97,Active,>,40
17406686,C1=CC=C(C=C1)CNC(=O)CSCC(=O)NC2=CC3=CC=CC=C3C=C2,Inactive,,,Inactive,,
17406721,CCCCCCCCSC1=NN=C(O1)CSC2=NN3C(=CC(=NC3=N2)C)C,Active,,6.27,Inactive,,
17406743,CCN1C(=C(C2=C1C=CC(=C2)C(=O)NC3=CC(=CC=C3)Cl)C)C,Active,>,100,Active,>,40
17406770,C1C2CC3(CC1CC(C2)(C3)N4C=NC(=N4)Cl)C(=O)NC5=CC(=CC(=C5)OC6=CC=CC=C6)[N+](=O)[O-],Inactive,,,Active,>,40
17406835,C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC(=O)C4=C(C=CC(=C4)N5C=NN=C5)Cl,Active,,22.03,Active,>,40
17406877,CCCC1=CC2=C(C=C1NC(=O)C3=CC=CC=C3Cl)OCO2,Inactive,,,Inactive,,
17406912,CC1=CC=CC=C1C2C(=C3N=C(C4=C(N3C5=C2C(=O)CC(C5)(C)C)SC6=C4CCCCC6)N)C#N,Inactive,,,Active,,33.146
17407300,COC(=O)C1=C(ON=C1CCl)C(=O)NCC=C,Active,,14.21,Active,>,40
17407303,C1=CSC(=C1)CCNC(=O)CC2=CC=C(C=C2)NC3=NC4=C(N3)C=C(C=C4)Br,Active,,37.05,Inactive,,
17407391,CC1=C(SC(=N1)NC(=O)CC(C)C)C2=CSC(=N2)NC3=C(C=C(C=C3)Cl)Cl,Active,,83.75,Active,>,40
17407431,CC(C)NC(=O)C1=C(C(=NO1)CSC2=CC(=C(C=C2)F)F)C(=O)O,Active,,22.85,Inactive,,
17407448,CC1=C(C(=NN1CC2=CC=C(O2)C(=O)N/N=C\C3=CC(=CC=C3)Br)[N+](=O)[O-])Cl,Inactive,,,Inactive,,
17407570,CC1=CC=C(C=C1)C(=O)C2CCN(CC2)CC(=O)NC3=NC(=CS3)C,Active,,53.59,Inactive,,
17407674,CC1=CC(=C(C=C1)C)N/C(=N/C2=NC(=CC(=N2)C)C)/N,Active,,12.7,Inactive,,
17407704,CC1=CC=C(C=C1)CN2C(=NN=N2)CN3CCC(CC3)C4=NC5=C(N4)C=C(C=C5)Cl,Active,,40.83,Active,,6.837
17407803,CC1=CC2=C(C=C1)N=C(NN=C2C3=CC=C(C=C3)N4CCOCC4)C5=CC=CS5,Inactive,,,Active,,38.635
17407842,C1CCC2=NC3=CC(=NN3C(=C2C1)NCC4=CC=CO4)C5=CC(=CC=C5)Cl,Active,,24.66,Active,,23.719
17407902,C1=CC=C2C(=C1)C(=O)OC(=N2)C3=CC=CC=C3[N+](=O)[O-],Inactive,,,Inactive,,
17408001,CC(C)(C)C1=CC=C(C=C1)C(=O)NNC2=CC(=NC(=N2)N3CCCCC3)N4CCCCC4,Active,,74.41,Active,>,40
17408023,C1=CC=C2C(=C1)C3=C(O2)C=C(C=C3)N.Cl,Inactive,,,Inactive,,
17408163,CC1=CC(=NC(=C1C(=O)N)SCC(=O)C2=CC=C(C=C2)Cl)C,Active,>,100,Inactive,,
17408338,COC1=CC=C(C=C1)NC(=O)C2C3C=CC(C2C(=O)NCC4=CN=CC=C4)O3,Inactive,,,Inactive,,
17408546,C1=CC(=CC=C1NNC2=C3C=CC(=CC3=NC=C2)Cl)Cl,Active,,19.85,Active,>,40
17408893,CCCN1C(=NN=N1)NC(=O)C2=C(C=C(C=C2)C)Cl,Active,,33.06,Inactive,,
17408896,CC(C)(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)NC3=NC4=C(S3)CCCC4,Inactive,,,Active,,38.653
17408898,CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=C(O2)C3=C(C=CC(=C3)C(F)(F)F)Cl)/C(=O)NCC4=CN=CC=C4,Active,>,100,Active,>,40
17408977,CCOC1=CC=C(C=C1)N(C(C2=CC=CC=C2C)C(=O)NC3CCCC3)C(=O)/C=C/C(=O)NC4=NOC(=C4)C,Inactive,,,Active,,20.208
17409183,C1CN(CCC1NC(=O)C2=CC=CC=C2F)C(=O)N3C4=CC=CC=C4SC5=CC=CC=C53,Active,>,100,Inactive,,
17409303,C/C(=C\C1=NC2=CC=CC=C2OC1=O)/O,Active,,0.89,Inactive,,
17409520,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=CC3=C2N=CC=C3,Active,>,100,Inactive,,
17409609,C1=CC=C(C=C1)COC(=O)/C=C/C2=C(C=C(C=N2)C(F)(F)F)Cl,Active,>,100,Inactive,,
17409759,CN(C)CCCNC(=O)C1=CC=C(C=C1)C2=NC(=CS2)C3=CC=C(C=C3)Cl,Active,,33.83,Active,,4.075
17409931,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)Cl)CS(=O)CC4=CC=C(C=C4)Br,Active,>,100,Inactive,,
17410116,C1CCN(C1)C2=NC3=CC=CC=C3C=C2C4=CC=C(C=C4)Cl,Active,>,100,Inactive,,
17410157,COC(=O)C(CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)C(F)(F)F)N3CC4=CC=CC=C4C3=O,Inactive,,,Active,,37.433
17410345,COC1=CC=C(C=C1)C2=CC=NC3=NC(=NN23)N4CCN(CC4)C5=CC=CC=C5,Inactive,,,Active,>,40
17410722,C1CCC(CC1)NC(=O)C(C2=CC3=C(C=C2)N=CC=C3)N(CC4=CC=CO4)C(=O)C5=CC6=C(C=C5)OCCO6,Inactive,,,Active,>,40
17410770,C1=C(C=C(C=C1Cl)Cl)NC2=NC=NN2,Active,>,100,Inactive,,
17410819,CNC1=NC(=NC2=C1CCCC2)SCC3=CC=CC=C3Cl,Active,,1.21,Active,,9.675
17410888,C1=CC=C2C(=C1)/C(=C/C3=C(C4=CC=CC=C4OC3=O)O)/C=N2,Active,,64.56,Active,,30.856
17410985,CCSC1=NC=C(N1C)/C=N/NC2=CC=CC=C2,Active,>,100,Inactive,,
17411190,C1=CC=C(C=C1)OC2=CC=C(C=C2)N=CC3=CNN(C3=O)C4=NC(=CC=C4)Cl,Active,>,100,Inactive,,
17411198,COC1=CC=C(C=C1)N=CC2=CNNC2=O,Inactive,,,Inactive,,
17411321,CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)NCC3=CC=CC=C3,Active,>,100,Inactive,,
17411451,CCCCCCCCN1C=NC2=C1C=C(C(=C2N)C)C,Active,,78.33,Active,>,40
17411462,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)/C=C/C3=CC=CC=C3,Active,,13.58,Active,,36.934
17411483,C1=CC(=CC=C1C(=O)/C=C/SC2=NC=NN2)Cl,Active,,55.05,Active,,25.42
17411503,CC1=CC=C(C=C1)C2CN(C3(C24COC5=CC=CC=C5C4=O)C6=CC=CC=C6NC3=O)C,Inactive,,,Active,>,40
17411539,C1=CC=C(C=C1)C2=CSC(=N2)NNC(=O)C3=CC=CC=C3,Active,>,100,Active,>,40
17411587,C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC=C(C=C2)Cl)/C3=CC=CS3,Active,>,100,Active,>,40
17411594,CC1=CC2=C(C=C1C)N(C=N2)/N=C/C3=CC=C(O3)[N+](=O)[O-],Active,,3.46,Active,,24.315
17411610,C1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NC4=CC=C(C=C4)C(=O)/C=C/C5=CC=C(C=C5)O,Active,,22.4,Active,,8.74
17411622,C/C(=N\NC(=S)N)/C=C/C1=CC=CC=C1,Active,,12.34,Inactive,,
17411645,C1=CC=C(C=C1)/C=C/C=N/NC2=NC3=CC=CC=C3S2,Inactive,,,Inactive,,
17411737,CC1=CC=C(C=C1)C2=CC=NC(=S)N2,Active,>,100,Inactive,,
17411757,CC1=CC=C(C=C1)C2(CC2C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])O)C4=CC=C(C=C4)C,Active,,23.63,Active,,3.289
17411766,CC1=CC(=C(C(=O)O1)/C=N/NC2=CC(=CC=C2)Cl)O,Inactive,,,Inactive,,
17411796,C1=CC=C(C=C1)NN2C=NC3=C(C2=N)C=NN3,Active,,26.98,Inactive,,
17411853,C1=CC=C(C(=C1)C(=O)NNC2=NC3=CC=CC=C3S2)F,Active,,59.19,Active,>,40
17411869,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)CCCC(=O)OCC(=O)C3=CC=CS3,Inactive,,,Inactive,,
17411951,C1=CC2=NC(=C(N2C=C1)/N=C/C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CO5,Inactive,,,Inactive,,
17411993,CCOC1=C(C=CC(=C1)/C=C\[N+](=O)[O-])OCC(=O)NC2=CC=CC=C2C,Active,,59.05,Active,>,40
17412016,CC(C)(C)C1=CC=C(C=C1)SC2=NC(=NN2C)[N+](=O)[O-],Active,,17.1,Inactive,,
17412041,CC1=C(C=C(C=C1)NC(=O)C2C3C2/C=C\CCCC3)C,Active,,4.49,Inactive,,
17412100,CC1=CC(=C(C=C1)OC(=O)C2=C(C3=C(O2)C=CC(=C3)F)C)C,Active,,13.85,Active,,3.94
17412102,COC1=CC=C(C=C1)NC(=O)ON=C2C3=CC=CC=C3C4=CC=CC=C42,Inactive,,,Inactive,,
17412147,C1=CC(=CC=C1C2=NC(=NN2)N=NC3=CC=C(C=C3)O)Cl,Active,,32.42,Active,,28.114
17412334,CC1=CC=C(C=C1)/C=C(/C2=NC(=S)NN2)\NC(=O)C3=CC=C(C=C3)C,Active,,49.47,Active,>,40
17412503,CC(C)OC(=O)C(=O)/C=C(/C1=CC=CC=C1)\NC2=CC=CC=C2O,Active,,13.82,Inactive,,
17412506,CC1=C(C=C(C=C1)C2=NC3=CC(=CC(=C3O2)C)C)NC(=S)NC(=O)/C=C/C4=CC=CO4,Active,>,100,Active,>,40
17412535,COC1=CC=C(C=C1)NC2(C(=O)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)Cl,Inactive,,,Inactive,,
17412588,CC1=CC=C(C=C1)C(=O)ONC2=CC=C(C=C2)N=O,Active,>,100,Inactive,,
17412725,C1CC2=C(C1)SC3=NC=NC(=C23)N/N=C/C4=CC=CS4,Active,,54.16,Active,,15.677
17412763,CC1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)CC(=O)C4=CC=C(C=C4)C.[Br-],Active,,25.4,Inactive,,
17412816,CCC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=C(C=C3)F)C4=CC=C(C=C4)S(=O)(=O)N,Active,,53.25,Active,,27.646
17412865,CC(C)(C)C1=CC=C(C=C1)C2C3=C(CCCC3=O)NC4=C2C(=O)C5=CC=CC=C54,Inactive,,,Active,>,40
17412971,C1=CC(=CC=C1C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)Cl,Active,,46.88,Active,,13.435
17413027,CC(CC(=O)NC1=CC(=C(C=C1)Cl)[N+](=O)[O-])C2=CC=CC=C2,Active,,29.35,Active,,30.685
17413054,C1C2CC3CC1CC(C2)(C3)NC(=S)NCC4=CC=C(C=C4)Cl,Active,,28.07,Active,,18.818
17413153,CCOC1=C(C(=CC(=C1)CNCCCN2CCOCC2)Br)OCC(=O)NC3=CC=CC(=C3)C(F)(F)F.Cl,Active,,32.01,Active,,12.389
17413214,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)OC)NC(=O)CNCC3=CC=CO3,Active,,25.52,Inactive,,
17413246,C1=CSC(=C1)C2=C(N=C(N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CS4,Active,>,100,Active,,19.508
